tradeday,account,nav
2018-06-29,XLIN01,12530.734
2018-07-02,XLIN01,12582.224
2018-07-03,XLIN01,12588.704
2018-07-04,XLIN01,12588.704
2018-07-05,XLIN01,12657.154
2018-07-06,XLIN01,12851.604
2018-07-09,XLIN01,12790.134
2018-07-10,XLIN01,12761.354
2018-07-11,XLIN01,12639.564
2018-07-12,XLIN01,12724.274
2018-07-13,XLIN01,17723.804
2018-07-16,XLIN01,17695.844
2018-07-17,XLIN01,17813.344
2018-07-18,XLIN01,17738.844
2018-07-19,XLIN01,17696.024
2018-07-20,XLIN01,17631.324
2018-07-23,XLIN01,17600.864
2018-07-24,XLIN01,46211.334
2018-07-25,XLIN01,48158.324
2018-07-26,XLIN01,47960.534
2018-07-27,XLIN01,44670.774
2018-07-30,XLIN01,41318.674
2018-07-31,XLIN01,40291.724
2018-08-01,XLIN01,40849.598
2018-08-02,XLIN01,34948.258
2018-08-03,XLIN01,38425.458
2018-08-06,XLIN01,37511.588
2018-08-07,XLIN01,38358.678
2018-08-08,XLIN01,39901.288
2018-08-09,XLIN01,39474.698
2018-08-10,XLIN01,38645.288
2018-08-13,XLIN01,38329.398
2018-08-14,XLIN01,38003.268
2018-08-15,XLIN01,37396.228
2018-08-16,XLIN01,38372.448
2018-08-17,XLIN01,39309.478
2018-08-20,XLIN01,39672.338
2018-08-21,XLIN01,40284.048
2018-08-22,XLIN01,40562.768
2018-08-23,XLIN01,40777.098
2018-08-24,XLIN01,40125.358
2018-08-27,XLIN01,39184.238
2018-08-28,XLIN01,39153.268
2018-08-29,XLIN01,38943.808
2018-08-30,XLIN01,38020.698
2018-08-31,XLIN01,38174.518
2018-09-03,XLIN01,38174.518
2018-09-04,XLIN01,37754.802
2018-09-05,XLIN01,38218.292
2018-09-06,XLIN01,37764.99
2018-09-07,XLIN01,37938.68
2018-09-10,XLIN01,38868.24
2018-09-11,XLIN01,38199.69
2018-09-12,XLIN01,38102.29
2018-09-13,XLIN01,38404.02
2018-09-14,XLIN01,37850.65
2018-09-17,XLIN01,37123.2
2018-09-18,XLIN01,36932.6
2018-09-19,XLIN01,36116.6
2018-09-20,XLIN01,38245.44
2018-09-21,XLIN01,37366.17
2018-09-24,XLIN01,35951.53
2018-09-25,XLIN01,37705.25
2018-09-26,XLIN01,37254.19
2018-09-27,XLIN01,36611.18
2018-09-28,XLIN01,36850.16
2018-10-01,XLIN01,35439.356
2018-10-02,XLIN01,33937.136
2018-10-03,XLIN01,33066.576
2018-10-04,XLIN01,33985.316
2018-10-05,XLIN01,33934.796
2018-10-08,XLIN01,33243.216
2018-10-09,XLIN01,32231.236
2018-10-10,XLIN01,31297.816
2018-10-11,XLIN01,30658.566
2018-10-12,XLIN01,31447.526
2018-10-15,XLIN01,31504.696
2018-10-16,XLIN01,31804.676
2018-10-17,XLIN01,31365.926
2018-10-18,XLIN01,30799.866
2018-10-19,XLIN01,29867.606
2018-10-22,XLIN01,28804.686
2018-10-23,XLIN01,29629.826
2018-10-24,XLIN01,28342.876
2018-10-25,XLIN01,29277.386
2018-10-26,XLIN01,28951.576
2018-10-29,XLIN01,30318.166
2018-10-30,XLIN01,31491.246
2018-10-31,XLIN01,32795.866
2018-11-01,XLIN01,32698.098
2018-11-02,XLIN01,32822.078
2018-11-05,XLIN01,33759.698
2018-11-06,XLIN01,31957.148
2018-11-07,XLIN01,31388.118
2018-11-08,XLIN01,32237.018
2018-11-09,XLIN01,31982.808
2018-11-12,XLIN01,31860.088
2018-11-13,XLIN01,31652.898
